"Time [ms]","Current(PhaseA) [A]","Current(PhaseB) [A]","Current(PhaseC) [A]","Current(PhaseD) [A]"
0,0,0,0,0
0.0005,0.000146130660939667,0.000145743870640585,0.000145501944740558,0.000145910160305497
0.001,0.0126346136833441,0.000140759366246781,0.000147854669754541,0.000154988387850165
0.051,1.23337735623969,0.0001408808629476,0.000147882760776069,0.000155006539454332
0.101,2.4234043014138,0.00014120053024265,0.000147861459456357,0.000154980497665513
0.151,3.57912647945595,0.000141472244122371,0.000147839172078152,0.000154898109952796
0.201,4.69760759637807,0.000141693579557665,0.000147826313986598,0.000154710491664925
0.251,5.78504409552727,0.000142135117766551,0.000147827550281522,0.000154841358985397
0.301,6.82990184111214,0.000142389253773269,0.000147790708785485,0.000154497917019501
0.351,7.82659137409736,0.000142696134606169,0.000147797595952241,0.000154395886511682
0.401,8.79693034039334,0.000143033579700434,0.00014780971353146,0.000154309214161469
0.451,9.72026867885774,0.00014343478226598,0.00014778843021032,0.000154192659245923
0.501,10.596581074995,0.000143630533918855,0.000147777599276065,0.000154036842864396
0.551,11.4515970665211,0.00014357464732255,0.000147767870061633,0.000153883392287031
0.601,12.2687571562794,0.000144268303418967,0.000147759088157332,0.000154078359453399
0.651,13.0480853331818,0.000144210222770514,0.000147758579171545,0.000153897176174034
0.701,13.7948394957118,0.000144181677173154,0.000147762342338425,0.000153721417832287
0.751,14.5208817269866,0.000144588706426818,0.000147772844866555,0.000154150527897112
0.801,15.2099083467275,0.000144659468685499,0.000147780698818208,0.00015389874114666
0.851,15.8528158062871,0.000144702339456176,0.000147785059991891,0.000153975821540711
0.901,16.4959501556455,0.000144689052251045,0.000147787703520479,0.000153937939265772
0.951,17.1005716506793,0.000144966106400027,0.000147788320340175,0.000154190526525937
1.001,17.6732402627498,0.000144940199198392,0.000147782485578232,0.000154069909267178
1.051,18.2263158424394,0.000144495987854475,0.000147792231161475,0.000153609521936864
1.101,18.7779234528828,0.000145379472017121,0.000147775693478227,0.000154402853290598
1.151,19.2994152906601,0.000144981782755314,0.000147772571178734,0.000153631577970383
1.17465,19.533524241371,0.000144957598316155,0.000147749054201008,0.000153657654355152
1.17515,19.5395359335202,0.000144877485066383,0.000147608266379266,0.000153812731918869
1.17565,19.5233129008501,0.000155617471194944,0.000148171430916767,0.000138464986967487
1.22565,17.9429097891523,0.000155061817923317,0.000148155559611817,0.00013826427644148
1.25855,16.9287669717629,0.000155568154362167,0.000148117699751656,0.000138699025046517
1.25905,16.9152648392941,0.000154097037792463,0.000147024711377657,0.000139090125463531
1.25955,16.8994737574595,0.0126339302617793,0.000154247174914903,0.000139247360705403
1.30955,15.3770648731802,1.23119843406043,0.000154164570519688,0.000138329215401263
1.35955,13.9067076993849,2.41565233058161,0.00015366908089423,0.000138038997685574
1.40955,12.5084245321908,3.56092429315323,0.000153436481409155,0.000138332487945902
1.45955,11.1507912261577,4.67416199605917,0.000153304893401496,0.000138599373718904
1.50955,9.83056048996727,5.74771921954585,0.000152918595542033,0.000137684678721528
1.55955,8.5567212299284,6.78946165880034,0.000152763993274753,0.000136650604800088
1.60955,7.33065808557737,7.78789161597431,0.000153293974385783,0.000137729176695354
1.65955,6.13797625634433,8.75452754921925,0.000153178310689626,0.000137766783886423
1.70955,4.98442166840908,9.68336198625274,0.000152856268831669,0.000137946354446596
1.75955,3.87491320351377,10.5436133521029,0.000152890418191028,0.000138779387105907
1.80955,2.80154783579509,11.3917125443669,0.000152402492920685,0.000139093518787872
