"Time [ms]","Moving1.Torque [NewtonMeter]"
0,0
0.0005,-2.48778137515369E-011
0.001,-2.51839743067558E-009
0.051,0.000177059732531223
0.101,0.00215237811052215
0.151,0.00710866955848699
0.201,0.0154914780212241
0.251,0.0288206958522672
0.301,0.0472000771145005
0.351,0.0712292603982908
0.401,0.103831209767788
0.451,0.142143698687745
0.501,0.18805956628382
0.551,0.243092207806967
0.601,0.297788977303871
0.651,0.361602552683355
0.701,0.44584692014384
0.751,0.510518371249022
0.801,0.588892425297544
0.851,0.676834554502652
0.901,0.767794753536048
0.951,0.858647207508885
1.001,0.9525159306133
1.051,1.02840516636811
1.101,1.14755478961351
1.151,1.24929254558465
1.17465,1.28736323951482
1.17515,1.28832568988995
1.17565,1.28626375912673
1.22565,1.08300044953884
1.25855,0.977596615320606
1.25905,0.976045389837805
1.25955,0.974270207977663
1.30955,0.808281686861757
1.35955,0.662733715095995
1.40955,0.569368616689082
1.45955,0.514665332559411
1.50955,0.504282391717793
1.55955,0.545609048524935
1.60955,0.650239975820176
1.65955,0.806120398249325
1.70955,1.02230302939874
1.75955,1.30057581951925
1.80955,1.60942653219892
1.85955,1.92342750909384
1.90955,2.24442779492704
1.95955,2.56522896730341
2.00955,2.91389951695709
2.05955,3.22915961596756
2.10955,3.55459878803603
2.15955,3.84599375803045
2.20955,4.09666866286463
2.25955,4.35309112341992
2.30955,4.58703426791061
2.35955,4.83350278596278
2.40955,5.04442336069305
2.4332,5.14291434950379
2.4337,5.14530503437108
2.4342,5.13679748286313
2.4842,4.32743678301038
2.5171,3.83545513864639
2.5176,3.82850647185934
2.5181,3.82157087416734
2.5681,3.17958657743973
2.6181,2.58851515207383
2.6681,2.09819107921728
2.7181,1.68270729306152
2.7681,1.30724903835403
2.8181,1.0031673566052
2.8681,0.759971567806338
2.9181,0.558213262199796
2.9681,0.400715036626679
3.0181,0.277553939469871
3.0681,0.183852202068753
3.1181,0.124165472042697
3.1681,0.0810500755097193
3.2181,0.076393841945794
3.2681,0.065364124311279
3.3181,0.0696048340041756
3.3681,0.0887834594495325
3.4181,0.0867123339861646
3.4681,0.0666194555330356
3.5181,0.0434873404526982
3.5681,-0.0101179629103695
3.6181,-0.0387516254559893
3.6681,-0.0880936868614535
3.69175,-0.123264940551966
3.69225,-0.124010724607238
3.69275,-0.124447046488835
