"Time [ms]","Current(PhaseA) [A]","Current(PhaseB) [A]","Current(PhaseC) [A]","Current(PhaseD) [A]"
0,0,0,0,0
0.0005,0.000146681663879901,0.000146519176103158,0.000146426600927922,0.000146949837711444
0.001,0.018372343746163,0.000121140809357186,0.00014787883141922,0.000174681219991411
0.051,1.78132492523954,0.000121815638987159,0.000147902933028985,0.000174071911937048
0.101,3.4875302933874,0.000122911277499688,0.000147916910210218,0.00017346267080936
0.151,5.13719991722273,0.000123810498577145,0.000147931192914022,0.000172753152394656
0.201,6.7325942663316,0.000124490199506872,0.000147950893910501,0.000171787153359256
0.251,8.2807051617433,0.000125769824839877,0.00014797003202149,0.000171700029328962
0.301,9.77657873477089,0.000126485702143179,0.000147971774369075,0.000170538884446709
0.351,11.2146375353776,0.000127231605921272,0.000147992631699648,0.000169988792912636
0.401,12.6176027502794,0.000127959434119265,0.000148011661050192,0.000169537230619966
0.451,13.9651743723592,0.000129087548434381,0.000148024370730161,0.000168990326122838
0.501,15.2593188782636,0.000129706882153349,0.00014803308478717,0.000168299619430545
0.551,16.5275524092939,0.000129634628645438,0.000148043225513295,0.000167407055808216
0.601,17.7509430136087,0.000131813117488408,0.00014804021593438,0.000167580839727586
0.651,18.9317676409407,0.000131867575468567,0.000148049799077538,0.000166520465572128
0.701,20.0785920269697,0.000131984084360622,0.000148062298397434,0.000165488978430566
0.751,21.1936503579404,0.000133546984581401,0.000148066726166019,0.000165882326682753
0.801,22.2691868248874,0.000133981297523997,0.000148084514329659,0.000164750715075965
0.851,23.2878502453423,0.000134470665581244,0.000148096765727541,0.000164410935775358
0.901,24.3051232199863,0.000134682445930943,0.000148102593846909,0.000163783474677738
0.951,25.2657665221533,0.000136093989369392,0.000148104026620884,0.000163857006940394
1.001,26.1881389046027,0.00013635073944996,0.000148110286507626,0.000163118561505507
1.051,27.0868269429944,0.000135766075844859,0.000148119440789995,0.000161668279339906
1.101,27.9770653957602,0.000138092270446659,0.000148112105662691,0.000162967038160008
1.151,28.8256971704591,0.000137730616863385,0.000148129750155914,0.000161028131640362
1.17465,29.2154926156503,0.000137943247175269,0.000148135788267074,0.000160701529415215
1.17515,29.224211632432,0.000138062758355361,0.000148129078680286,0.000161068572826968
1.17565,29.1963720868683,0.000187393981564877,0.000147695399702475,0.000105638933138619
1.22565,26.4908374951771,0.000185290274015403,0.000147705312839743,0.000106196485565485
1.25855,24.7502466873856,0.000186499950238233,0.000147684061714899,0.000107868232339764
1.25905,24.7244295938798,0.000186539860054805,0.000147399731783754,0.000107922445668533
1.25955,24.6944049879257,0.0204588396264437,0.00016288681943669,0.000103160967566441
1.30955,21.8375909127899,1.96222769392549,0.000162232121583144,0.000102951325716511
1.35955,19.0783942023669,3.81668064602846,0.000161302948992588,0.00010440735571484
1.40955,16.4435869963487,5.5864292324557,0.000160373538310686,0.000106064007039504
1.45955,13.8955929921794,7.27820096910467,0.000159821755673946,0.00010764960865076
1.50955,11.4357762205111,8.89181575934668,0.000159418760194336,0.000109474163947169
1.55955,9.07709862153391,10.4271296154165,0.000158539452984581,0.000110526101386576
1.60955,6.81918841211025,11.8966031651874,0.000158429101734761,0.000112790060061497
1.65955,4.64070913067951,13.297764782757,0.000157743105215409,0.000113777187937792
1.70955,2.54431146228653,14.6259747734636,0.000156848658763704,0.000114978297399601
1.75955,0.541663326586505,15.8729393743624,0.000156567880696305,0.000116578347461825
1.80955,0.000181278036877952,16.9085604791985,0.000154577537650759,0.000139209622569135
1.85955,0.000136858846312843,17.8230543340323,0.000154250815619482,0.000147783745549811
1.90955,0.000137611697078579,18.6893913143663,0.000153821233016177,0.000147797939546357
1.95955,0.00013833132062062,19.5299010368795,0.000154136893723991,0.000147823723778356
2.00955,0.000138656181949074,20.3309690427479,0.000154010883803904,0.000147844852293059
2.05955,0.000138307736421162,21.1015828413816,0.000153358683199965,0.000147843550171411
2.10955,0.000140737569983769,21.8341009337695,0.000153865921778283,0.000147880232094037
2.15955,0.000140057470824762,22.5547686063863,0.000153503607423355,0.00014788660763442
2.20955,0.00014001577118276,23.2490534683031,0.000153299722538617,0.000147895307671698
2.25955,0.000141697569259606,23.8895995819614,0.000153798376936385,0.00014791600578095
2.30955,0.000141376059432789,24.5421577385217,0.000153434021954122,0.000147927913402135
2.35955,0.000141660778702591,25.1460607494374,0.000153593707261223,0.000147948723745969
2.40955,0.000142042736396356,25.7290018554008,0.000153481042074538,0.0001479494453878
2.4332,0.000143228363236742,25.9901158109263,0.000154174650328179,0.000147959617351322
2.4337,0.000142388038220051,25.9957567907284,0.000154498146006851,0.00014797346301356
2.4342,0.00017667494597916,25.9727961818212,0.00013411899912892,0.000148292766349789
2.4842,0.000175870822208906,23.7996572410026,0.000133296519745974,0.000148261704105066
2.5171,0.000174831737330673,22.4025652515103,0.000133853132503893,0.000148258651303052
2.5176,0.000174103436572506,22.3819329583968,0.000133464749493052,0.000148255753477109
2.5181,0.000173327128844111,22.3623011393834,0.0145211270186273,0.00016767412050709
2.5681,0.000172453163727803,20.4300882010946,1.42080664986492,0.00016747730527462
2.6181,0.0001726265079643,18.5666357650576,2.80642236991269,0.000167227812442707
2.6681,0.000170918916289864,16.780962081205,4.16217313498481,0.000166973616875329
2.7181,0.000169483244295779,15.0670797604474,5.48867981245327,0.000166778167225254
2.7681,0.000169446422448928,13.3971337458258,6.7915627221108,0.000166382432072375
2.8181,0.000168129198541293,11.808053505282,8.06473900100374,0.00016622289138664
2.8681,0.000167312994271442,10.2676192033532,9.30707901966149,0.00016608496825659
2.9181,0.000166524472707909,8.77385216417157,10.5308486390058,0.00016592652148219
2.9681,0.000165788447846982,7.34179947097336,11.7211666319045,0.000165362640238312
3.0181,0.00016491709458881,5.95524608656543,12.8780135558514,0.000165205387078502
3.0681,0.000164060201130865,4.61570519788939,14.0026117397424,0.000165436574584634
