"Time [ms]","Moving1.Torque [NewtonMeter]"
0,0
0.0005,-1.74039781723214E-011
0.001,-1.57382108203235E-009
0.051,-7.64953278298547E-005
0.101,0.000104476499144812
0.151,0.000629412517870726
0.201,0.0013872708436787
0.251,0.00318891531406008
0.301,0.0066868915548316
0.351,0.0140182108005582
0.401,0.02064866527453
0.451,0.027476143747308
0.501,0.0361558159206168
0.551,0.0455673356161556
0.601,0.0454663133990821
0.651,0.0511733558083471
0.701,0.0722266519759156
0.751,0.0788159240711624
0.801,0.0903218151849173
0.851,0.109800862477766
0.901,0.13480987634778
0.951,0.151838760504731
1.001,0.167953327797793
1.051,0.164797795300807
1.101,0.209120975852989
1.151,0.233806064385844
1.17465,0.23701702083684
1.17515,0.23719403190143
1.17565,0.236806993265301
1.22565,0.195125264451065
1.25855,0.176969520033027
1.25905,0.176747021367099
1.25955,0.176232188704107
1.30955,0.136114891082535
1.35955,0.107979098676674
1.40955,0.107234512611571
1.45955,0.122728620966554
1.50955,0.163215816469096
1.55955,0.222370865761645
1.60955,0.303460517974843
1.65955,0.399614166789632
1.70955,0.519978080246263
1.75955,0.661972877858815
1.80955,0.78569911576412
1.85955,0.887445614140586
1.90955,1.00435984556568
1.95955,1.12365978308481
2.00955,1.26809798642408
2.05955,1.39225042580415
2.10955,1.54723344181809
2.15955,1.68291854861811
2.20955,1.79873102174494
2.25955,1.92861131294397
2.30955,2.0246958175726
2.35955,2.17575849355799
2.40955,2.29522761066149
2.4332,2.34135466842565
2.4337,2.342751405382
2.4342,2.33904475017267
2.4842,1.96594019189499
2.5171,1.72004403279778
2.5176,1.71647770473724
2.5181,1.71287760903285
2.5681,1.41412993209695
2.6181,1.10002379242496
2.6681,0.845447805784678
2.7181,0.660071394989678
2.7681,0.458070074239672
2.8181,0.298604142803701
2.8681,0.133113132287827
2.9181,0.00446465863213363
2.9681,-0.0780571954490072
3.0181,-0.159379083448177
3.0681,-0.20638346408809
3.1181,-0.256732607476826
3.1681,-0.292139526853482
3.2181,-0.296955827869096
3.2681,-0.315800305173035
3.3181,-0.353082141026714
3.3681,-0.379451241087388
3.4181,-0.411334039830489
3.4681,-0.445096120041688
3.5181,-0.47027875834715
3.5681,-0.510973188389199
3.6181,-0.519452307956887
3.6681,-0.535304112621002
3.69175,-0.55063546073611
3.69225,-0.550929026460078
3.69275,-0.549816030897944
3.74275,-0.458703460623951
3.77565,-0.393175668760027
3.77615,-0.392282820306684
3.77665,-0.391582958285248
3.82665,-0.327239214529449
3.87665,-0.281997392213098
3.92665000000001,-0.233921719331182
3.97665000000001,-0.186788502578538
4.02665,-0.148535912007389
4.07665,-0.113001002078354
4.12665,-0.0817757044808864
4.17665,-0.0528723999232456
4.22665,-0.0285571304916821
4.27665,-0.00537669957536943
4.32665,0.0142755626148914
4.37665,0.0260874838748974
4.42665,0.0370941122571983
4.47665,0.0496871450345458
4.52665,0.0582964305608275
4.57665,0.0626385429933076
4.62665,0.0856835030608658
4.67665,0.107436519999616
4.72665,0.121866835627081
4.77665,0.135797581051384
4.82665,0.14969924793447
4.87665,0.173798498536046
4.92665,0.192694420353101
4.95035,0.201609009096978
4.95085,0.201593404971818
4.95135,0.201039908849672
5.00135,0.161397094391897
5.03425,0.1474469040592
5.03475,0.147116448151165
5.03525,0.146943759515527
5.08525,0.146753294410641
5.13525,0.134093599986638
5.18525,0.133770128015694
5.23525,0.136724352213845
5.28525,0.148475221003036
5.33525,0.166235735194891
5.38525,0.192444488742474
5.43524999999999,0.224691705786947
5.48524999999999,0.267490662815894
5.53524999999999,0.31395640465623
5.58524999999999,0.373532465034752
5.63524999999999,0.438540381148407
5.68524999999999,0.528955377363869
5.73524999999999,0.623932134494897
5.78524999999999,0.742560503801893
5.83524999999999,0.848655386743309
5.88524999999999,0.974463397431045
5.93524999999999,1.09471202279856
5.98524999999999,1.20875943077697
6.03524999999999,1.32430710059046
6.08524999999999,1.4131328301634
6.13524999999999,1.56362772306074
6.18524999999999,1.68339973763975
6.20889999999999,1.73341799868511
6.20939999999999,1.73465960964423
6.20989999999999,1.7315537768166
6.25989999999999,1.42483861175181
6.29279999999999,1.23364876938583
6.29329999999999,1.23085157589552
6.29379999999999,1.22806823524992
6.34379999999999,0.994521418234552
6.39379999999999,0.764537511438955
6.44379999999999,0.576179874650565
6.49379999999999,0.434702334560081
6.54379999999999,0.286529661955407
6.59379999999999,0.189475053631338
6.64379999999999,0.0378922595081273
6.69379999999999,-0.062358625602184
6.74379999999999,-0.134624764369647
6.79379999999999,-0.217088753935889
6.84379999999999,-0.275535077268988
6.89379999999998,-0.312109414389962
6.94379999999998,-0.354489963057831
6.99379999999998,-0.380231409256421
7.04379999999998,-0.415444001910814
7.09379999999998,-0.455451086790743
7.14379999999998,-0.479196382944521
7.19379999999998,-0.509782540654274
7.24379999999998,-0.545099758450702
7.29379999999998,-0.567836631512428
7.34379999999998,-0.599525856343881
7.39379999999998,-0.616661552805718
7.44379999999998,-0.626788840182912
7.46744999999998,-0.645674914705636
7.46794999999998,-0.646148168807368
7.46844999999998,-0.645107646522392
7.51844999999998,-0.53654129686274
7.55134999999998,-0.4651349992662
7.55184999999998,-0.464236749274232
7.55234999999998,-0.463544640834038
7.60234999999998,-0.386065051031209
7.65234999999998,-0.342162178948329
7.70234999999998,-0.286834569683042
7.75234999999998,-0.230244009587082
7.80234999999998,-0.186926152493146
7.85234999999998,-0.145950583412525
7.90234999999998,-0.109972887522162
7.95234999999998,-0.0771962870135327
8.00234999999998,-0.049541382277359
8.05234999999998,-0.021592562160446
8.10234999999998,0.00261274267626821
8.15234999999997,0.0156116648282067
8.20234999999997,0.030013247263406
8.25234999999997,0.0494376347442464
8.30234999999997,0.0558320745401701
8.35234999999997,0.0658799134884824
8.40234999999997,0.0821394421803743
8.45234999999997,0.103191199431108
8.50234999999997,0.118534046706305
8.55234999999997,0.133526136756023
8.60234999999997,0.132849191814765
8.65234999999997,0.171277164869699
8.70234999999997,0.194270993690509
8.72599999999997,0.19833337676366
8.72649999999997,0.1984975357756
8.72699999999997,0.198142117026315
8.77699999999997,0.160496180757595
8.80994999999997,0.144177930595099
8.81044999999997,0.143973974094749
8.81094999999997,0.143922933658399
8.86094999999997,0.140979231367357
8.91094999999997,0.130548312815984
8.96094999999997,0.131094205237
9.01094999999997,0.134349981548619
9.06094999999997,0.146622563081917
9.11094999999997,0.166162269808262
9.16094999999997,0.191693104212856
9.21094999999997,0.2229693415531
9.26094999999997,0.264266950013206
9.31094999999997,0.315356303168049
9.36094999999997,0.372041462362195
9.41094999999997,0.443059878914287
9.46094999999997,0.534169912126052
9.51094999999997,0.630627417991281
9.56094999999997,0.745692504614788
9.61094999999997,0.852471983718824
9.66094999999997,0.982114576125561
9.71094999999997,1.10225941914784
9.76094999999997,1.21139682613998
9.81094999999997,1.33193559153668
9.86094999999997,1.42930366600235
9.91094999999997,1.56899912502253
9.96094999999997,1.68473584389347
9.98459999999997,1.73187776345767
9.98509999999997,1.73331768004224
9.98559999999997,1.73034129922824
10,1.63986647341995
